,wl,power
466,766,0.07256293028179071
467,767,0.0924098933626485
468,768,0.11247553793114512
469,769,0.12152884632091228
470,770,0.1332969416303025
471,771,0.14299992058131292
472,772,0.15367168348812046
473,773,0.16347724938635771
474,774,0.1740932476341678
475,775,0.18519611070099753
476,776,0.19710115688728153
477,777,0.2080607470111738
478,778,0.22021214057625305
479,779,0.23408179936858303
480,780,0.24473019269482693
481,781,0.25752284973952216
482,782,0.2726682122937505
483,783,0.28559883037177863
484,784,0.297828371390594
485,785,0.31341614346200697
486,786,0.3278674410406781
487,787,0.33785380608050825
488,788,0.34721530727426125
489,789,0.359177537337673
490,790,0.3607337834594594
491,791,0.3782512349053199
492,792,0.38674128198631214
493,793,0.39563495334821414
494,794,0.41064198404047564
495,795,0.42001469775933614
496,796,0.4232114485153489
497,797,0.4401521962086785
498,798,0.45872034761957725
499,799,0.45957781268342124
500,800,0.4613589761102983
501,801,0.47582170147803043
502,802,0.48555967824568763
503,803,0.48553915029373185
504,804,0.5000175171611139
505,805,0.4973053561897745
506,806,0.525979687157366
507,807,0.5281895474899887
508,808,0.5338229753193696
509,809,0.5269567198466475
510,810,0.5336947028114024
511,811,0.5380163728816417
512,812,0.5293472955216353
513,813,0.5244606608388415
514,814,0.4731923057708824
515,815,0.47198995749263506
516,816,0.4411461042345944
517,817,0.45378300377892916
518,818,0.43993504179401904
519,819,0.4855383222086719
520,820,0.4633584840205803
521,821,0.536904661469711
522,822,0.5124898290398782
523,823,0.3622843995900277
524,824,0.5035958964982821
525,825,0.5223042211364538
526,826,0.503745294600543
527,827,0.5324111434033736
528,828,0.46122841064793674
529,829,0.5068634210498909
530,830,0.5029186305681251
531,831,0.510922505205
532,832,0.4986861577021102
533,833,0.5379433916613682
534,834,0.5299804906941163
535,835,0.5741066239081547
536,836,0.5610841225693456
537,837,0.5870821800192205
538,838,0.5856522938375867
539,839,0.5914472388242423
540,840,0.6043986664686868
541,841,0.6055445368844443
542,842,0.6021731578716825
543,843,0.6118711219967862
544,844,0.6050236432617122
545,845,0.628680702084688
546,846,0.6352726699312535
547,847,0.6237173301369522
548,848,0.6293264257412526
549,849,0.6305653310917256
550,850,0.5762496341513045
551,851,0.6332246830533541
552,852,0.6340592473724924
553,853,0.6349598056564573
554,854,0.5633375344328037
555,855,0.6071042027985648
556,856,0.6499778306909035
557,857,0.6647185788999692
558,858,0.667205743128654
559,859,0.6689948193282479
560,860,0.6684617677965403
561,861,0.6691611842738695
562,862,0.6759118772182486
563,863,0.6812750591429291
564,864,0.6678607581300602
565,865,0.6578080380943888
566,866,0.5803970766433915
567,867,0.626235745242793
568,868,0.6565231483662363
569,869,0.6501598602091758
570,870,0.662722519679249
571,871,0.6536073780246641
572,872,0.6627885827433448
573,873,0.6565086827086423
574,874,0.6453139811472441
575,875,0.636305451564743
576,876,0.6543490303589474
577,877,0.6567919823719298
578,878,0.6542936884130554
579,879,0.6433947167445975
580,880,0.6454285134136747
581,881,0.6241643510475906
582,882,0.6405471948153219
583,883,0.6385921078603747
584,884,0.6414200642841019
585,885,0.6495241322101961
586,886,0.6246875614062555
587,887,0.6272061007978488
588,888,0.6356203605265682
589,889,0.6442867696771672
590,890,0.6371101208939365
591,891,0.6384517132992272
592,892,0.6266612816758436
593,893,0.6021218176453825
594,894,0.5869522758465039
595,895,0.5609522461324709
596,896,0.5258273912718262
597,897,0.45906840029427515
598,898,0.49500775770557615
599,899,0.37836982490854765
600,900,0.5117764494434782
601,901,0.4128031099234228
602,902,0.4596943097991624
603,903,0.4737706519396318
604,904,0.5808368043094412
605,905,0.562085809093848
606,906,0.5343537500400912
607,907,0.4410527219122517
608,908,0.4519850372252451
609,909,0.49046101043689655
610,910,0.43712614516246046
611,911,0.4700383024001805
612,912,0.4873218529359593
613,913,0.44625871289593894
614,914,0.4467038214135041
615,915,0.48479467278775157
616,916,0.4126511846806886
617,917,0.5232003586999066
618,918,0.424829510467944
619,919,0.5297310269109251
620,920,0.5339725674705443
621,921,0.5604663497122001
622,922,0.5039329161594714
623,923,0.5373220931136564
624,924,0.5218253564217449
625,925,0.5159046935419552
626,926,0.5117929461132708
627,927,0.5746580799572002
628,928,0.4315497752475
629,929,0.40432447563340274
630,930,0.31761356114270833
631,931,0.30140619247521383
632,932,0.22204881613128294
633,933,0.183757574872789
