wl,power
1502,2.9240E-01
1504,2.7990E-01
1506,2.8480E-01
1508,2.9190E-01
1510,2.9470E-01
1512,2.9130E-01
1514,2.8830E-01
1516,2.8820E-01
1518,2.8840E-01
1520,2.8660E-01
1522,2.8240E-01
1524,2.8350E-01
1526,2.8460E-01
1528,2.8460E-01
1530,2.7650E-01
1532,2.8230E-01
1534,2.7840E-01
1536,2.8060E-01
1538,2.7730E-01
1540,2.7300E-01
1542,2.7530E-01
1544,2.7780E-01
1546,2.7720E-01
1548,2.7110E-01
1550,2.7130E-01
1552,2.7310E-01
1554,2.6760E-01
1556,2.6710E-01
1558,2.6890E-01
1560,2.6830E-01
1562,2.6970E-01
1564,2.6690E-01
1566,2.6540E-01
1568,2.6330E-01
1570,2.6450E-01
1572,2.6730E-01
1574,2.6100E-01
1576,2.5360E-01
1578,2.5470E-01
1580,2.6500E-01
1582,2.5900E-01
1584,2.5910E-01
1586,2.5990E-01
1588,2.4900E-01
1590,2.4050E-01
1592,2.5260E-01
1594,2.5830E-01
1596,2.5060E-01
1598,2.5450E-01
1600,2.5120E-01
1602,2.4890E-01
1604,2.4970E-01
1606,2.4770E-01
1608,2.4910E-01
1610,2.4000E-01
1612,2.4300E-01
1614,2.4490E-01
1616,2.3740E-01
1618,2.4230E-01
1620,2.3690E-01
1622,2.3830E-01
1624,2.4160E-01
1626,2.4020E-01
1628,2.4180E-01
1630,2.3930E-01
1632,2.3870E-01
1634,2.3590E-01
1636,2.3570E-01
1638,2.2740E-01
1640,2.2620E-01
1642,2.2660E-01
1644,2.2780E-01
1646,2.2940E-01
1648,2.2920E-01
1650,2.2720E-01
1652,2.2680E-01
1654,2.2620E-01
1656,2.2600E-01
1658,2.2520E-01
1660,2.2450E-01
1662,2.2460E-01
1664,2.2270E-01
1666,2.2120E-01
1668,2.1930E-01
1670,2.2250E-01
1672,2.1730E-01
1674,2.1930E-01
1676,2.1610E-01
1678,2.1680E-01
1680,2.0800E-01
1682,2.0540E-01
1684,2.1290E-01
1686,2.1310E-01
1688,2.1200E-01
1690,2.1050E-01
1692,2.1230E-01
1694,2.1120E-01
1696,2.1000E-01
1698,2.0890E-01
1700,2.0630E-01
1702,2.0470E-01
1704,2.0520E-01
1706,2.0500E-01
1708,2.0170E-01
1710,2.0130E-01
1712,1.9820E-01
1714,2.0370E-01
1716,2.0220E-01
1718,2.0100E-01
1720,1.9930E-01
1722,1.9750E-01
1724,1.9540E-01
1726,1.9820E-01
1728,1.9710E-01
1730,1.9840E-01
1732,1.9360E-01
1734,1.8740E-01
1736,1.8270E-01
1738,1.8630E-01
1740,1.9050E-01
1742,1.9020E-01
1744,1.9070E-01
1746,1.8670E-01
1748,1.8720E-01
1750,1.8580E-01
1752,1.8500E-01
1754,1.8560E-01
1756,1.8490E-01
1758,1.8430E-01
1760,1.8310E-01
1762,1.7930E-01
1764,1.8070E-01
1766,1.8170E-01
1768,1.8020E-01
1770,1.7910E-01
1772,1.7940E-01
1774,1.7920E-01
1776,1.7630E-01
1778,1.7470E-01
1780,1.7560E-01
1782,1.7470E-01
1784,1.7350E-01
1786,1.7390E-01
1788,1.7470E-01
1790,1.7330E-01
1792,1.7210E-01
1794,1.7090E-01
1796,1.7060E-01
1798,1.7030E-01
1800,1.6990E-01
1802,1.6720E-01
1804,1.6880E-01
1806,1.6880E-01
1808,1.6850E-01
1810,1.6860E-01
1812,1.6750E-01
1814,1.6580E-01
1816,1.6050E-01
1818,1.5200E-01
1820,1.5960E-01
1822,1.5980E-01
1824,1.6240E-01
1826,1.6280E-01
1828,1.6110E-01
1830,1.6060E-01
1832,1.5930E-01
1834,1.5850E-01
1836,1.5810E-01
1838,1.5620E-01
1840,1.5620E-01
1842,1.5400E-01
1844,1.5410E-01
1846,1.5350E-01
1848,1.5100E-01
1850,1.5460E-01
1852,1.5340E-01
1854,1.5250E-01
1856,1.5090E-01
1858,1.5250E-01
1860,1.5030E-01
1862,1.5040E-01
1864,1.5090E-01
1866,1.4940E-01
1868,1.4920E-01
1870,1.5080E-01
1872,1.4730E-01
1874,1.4010E-01
1876,1.2990E-01
1878,1.4410E-01
1880,1.4620E-01
1882,1.4740E-01
1884,1.4640E-01
1886,1.4390E-01
1888,1.4530E-01
1890,1.4240E-01
1892,1.4080E-01
1894,1.3960E-01
1896,1.3730E-01
1898,1.3900E-01
1900,1.3970E-01
1902,1.4090E-01
1904,1.3860E-01
1906,1.3900E-01
1908,1.3770E-01
1910,1.3780E-01
1912,1.3540E-01
1914,1.3700E-01
1916,1.3600E-01
1918,1.3530E-01
1920,1.3330E-01
1922,1.3500E-01
1924,1.3410E-01
1926,1.3440E-01
1928,1.3220E-01
1930,1.3130E-01
1932,1.3080E-01
1934,1.3200E-01
1936,1.3280E-01
1938,1.3210E-01
1940,1.2990E-01
1942,1.2940E-01
1944,1.2030E-01
1946,1.1920E-01
1948,1.2710E-01
1950,1.2610E-01
1952,1.2550E-01
1954,1.2860E-01
1956,1.2760E-01
1958,1.2710E-01
1960,1.2610E-01
1962,1.2400E-01
1964,1.2220E-01
1966,1.2310E-01
1968,1.2400E-01
1970,1.2390E-01
1972,1.2130E-01
1974,1.2080E-01
1976,1.2240E-01
1978,1.1940E-01
1980,1.1960E-01
1982,1.2050E-01
1984,1.1970E-01
1986,1.1780E-01
1988,1.1950E-01
1990,1.1980E-01
1992,1.1800E-01
1994,1.1620E-01
1996,1.1730E-01
1998,1.1590E-01
2000,1.1700E-01
2002,1.1610E-01
2004,1.1480E-01
2006,1.1470E-01
2008,1.1540E-01
2010,1.1490E-01
2012,1.1450E-01
2014,1.1380E-01
2016,1.1370E-01
2018,1.1340E-01
2020,1.1160E-01
2022,1.1070E-01
2024,1.1160E-01
2026,1.1150E-01
2028,1.1070E-01
2030,1.0860E-01
2032,1.0980E-01
2034,1.0920E-01
2036,1.0830E-01
2038,1.0640E-01
2040,1.0780E-01
2042,1.0760E-01
2044,1.0760E-01
2046,1.0710E-01
2048,1.0630E-01
2050,1.0590E-01
2052,1.0470E-01
2054,1.0460E-01
2056,1.0460E-01
2058,1.0400E-01
2060,1.0280E-01
2062,1.0230E-01
2064,1.0050E-01
2066,1.0250E-01
2068,1.0190E-01
2070,1.0030E-01
2072,1.0040E-01
2074,1.0090E-01
2076,1.0060E-01
2078,1.0000E-01
2080,9.8780E-02
2082,9.8640E-02
2084,9.7720E-02
2086,9.8520E-02
2088,9.8350E-02
