Wavelength,Responsivity
397.7,0.19139
397.8,0.19146
397.9,0.19153
398.0,0.1916
398.1,0.19167
398.2,0.19174
398.3,0.19181
398.4,0.19188
398.5,0.19195
398.6,0.19202
398.7,0.19209
398.8,0.19216
398.9,0.19223
399.0,0.1923
399.1,0.19237
399.2,0.19244
399.3,0.19251
399.4,0.19258
399.5,0.19265
399.6,0.19272
399.7,0.19279
399.8,0.19286
399.9,0.19293
400.0,0.193
400.1,0.193095
400.2,0.19319
400.3,0.193285
400.4,0.19338
400.5,0.193475
400.6,0.19357
400.7,0.193665
400.8,0.19376
400.9,0.193855
401.0,0.19395
401.1,0.194045
401.2,0.19414
401.3,0.194235
401.4,0.19433
401.5,0.194425
401.6,0.19452
401.7,0.194615
401.8,0.19471
401.9,0.194805
402.0,0.1949
402.1,0.194995
402.2,0.19509
402.3,0.195185
402.4,0.19528
402.5,0.195375
402.6,0.19547
402.7,0.195565
402.8,0.19566
402.9,0.195755
403.0,0.19585
403.1,0.195945
403.2,0.19604
403.3,0.196135
403.4,0.19623
403.5,0.196325
403.6,0.19642
403.7,0.196515
403.8,0.19661
403.9,0.196705
404.0,0.1968
404.1,0.196895
404.2,0.19699
404.3,0.197085
404.4,0.19718
404.5,0.197275
404.6,0.19737
404.7,0.197465
404.8,0.19756
404.9,0.197655
405.0,0.19775
405.1,0.197845
405.2,0.19794
405.3,0.198035
405.4,0.19813
405.5,0.198225
405.6,0.19832
405.7,0.198415
405.8,0.19851
405.9,0.198605
406.0,0.1987
406.1,0.198795
406.2,0.19889
406.3,0.198985
406.4,0.19908
406.5,0.199175
406.6,0.19927
406.7,0.199365
406.8,0.19946
406.9,0.199555
407.0,0.19965
407.1,0.199745
407.2,0.19984
407.3,0.199935
407.4,0.20003
407.5,0.200125
407.6,0.20022
407.7,0.200315
407.8,0.20041
407.9,0.200505
408.0,0.2006
408.1,0.200695
408.2,0.20079
408.3,0.200885
408.4,0.20098
408.5,0.201075
408.6,0.20117
408.7,0.201265
408.8,0.20136
408.9,0.201455
409.0,0.20155
409.1,0.201645
409.2,0.20174
409.3,0.201835
409.4,0.20193
409.5,0.202025
409.6,0.20212
409.7,0.202215
409.8,0.20231
409.9,0.202405
410.0,0.2025
410.1,0.202595
410.2,0.20269
410.3,0.202785
410.4,0.20288
410.5,0.202975
410.6,0.20307
410.7,0.203165
410.8,0.20326
410.9,0.203355
411.0,0.20345
411.1,0.203545
411.2,0.20364
411.3,0.203735
411.4,0.20383
411.5,0.203925
411.6,0.20402
411.7,0.204115
411.8,0.20421
411.9,0.204305
412.0,0.2044
412.1,0.204495
412.2,0.20459
412.3,0.204685
412.4,0.20478
412.5,0.204875
412.6,0.20497
412.7,0.205065
412.8,0.20516
412.9,0.205255
413.0,0.20535
413.1,0.205445
413.2,0.20554
413.3,0.205635
413.4,0.20573
413.5,0.205825
413.6,0.20592
413.7,0.206015
413.8,0.20611
413.9,0.206205
414.0,0.2063
414.1,0.206395
414.2,0.20649
414.3,0.206585
414.4,0.20668
414.5,0.206775
414.6,0.20687
414.7,0.206965
414.8,0.20706
414.9,0.207155
415.0,0.20725
415.1,0.207345
415.2,0.20744
415.3,0.207535
415.4,0.20763
415.5,0.207725
415.6,0.20782
415.7,0.207915
415.8,0.20801
415.9,0.208105
416.0,0.2082
416.1,0.208295
416.2,0.20839
416.3,0.208485
416.4,0.20858
416.5,0.208675
416.6,0.20877
416.7,0.208865
416.8,0.20896
416.9,0.209055
417.0,0.20915
417.1,0.209245
417.2,0.20934
417.3,0.209435
417.4,0.20953
417.5,0.209625
417.6,0.20972
417.7,0.209815
417.8,0.20991
417.9,0.210005
418.0,0.2101
418.1,0.210195
418.2,0.21029
418.3,0.210385
418.4,0.21048
418.5,0.210575
418.6,0.21067
418.7,0.210765
418.8,0.21086
418.9,0.210955
419.0,0.21105
419.1,0.211145
419.2,0.21124
419.3,0.211335
419.4,0.21143
419.5,0.211525
419.6,0.21162
419.7,0.211715
419.8,0.21181
419.9,0.211905
420.0,0.212
420.1,0.21209
420.2,0.21218
420.3,0.21227
420.4,0.21236
420.5,0.21245
420.6,0.21254
420.7,0.21263
420.8,0.21272
420.9,0.21281
421.0,0.2129
421.1,0.21299
421.2,0.21308
421.3,0.21317
421.4,0.21326
421.5,0.21335
421.6,0.21344
421.7,0.21353
421.8,0.21362
421.9,0.21371
422.0,0.2138
422.1,0.21389
422.2,0.21398
422.3,0.21407
422.4,0.21416
422.5,0.21425
422.6,0.21434
422.7,0.21443
422.8,0.21452
422.9,0.21461
423.0,0.2147
423.1,0.21479
423.2,0.21488
423.3,0.21497
423.4,0.21506
423.5,0.21515
423.6,0.21524
423.7,0.21533
423.8,0.21542
423.9,0.21551
424.0,0.2156
424.1,0.21569
424.2,0.21578
424.3,0.21587
424.4,0.21596
424.5,0.21605
424.6,0.21614
424.7,0.21623
424.8,0.21632
424.9,0.21641
425.0,0.2165
425.1,0.21659
425.2,0.21668
425.3,0.21677
425.4,0.21686
425.5,0.21695
425.6,0.21704
425.7,0.21713
425.8,0.21722
425.9,0.21731
426.0,0.2174
426.1,0.21749
426.2,0.21758
426.3,0.21767
426.4,0.21776
426.5,0.21785
426.6,0.21794
426.7,0.21803
426.8,0.21812
426.9,0.21821
427.0,0.2183
427.1,0.21839
427.2,0.21848
427.3,0.21857
427.4,0.21866
427.5,0.21875
427.6,0.21884
427.7,0.21893
427.8,0.21902
427.9,0.21911
428.0,0.2192
428.1,0.21929
428.2,0.21938
428.3,0.21947
428.4,0.21956
428.5,0.21965
428.6,0.21974
428.7,0.21983
428.8,0.21992
428.9,0.22001
429.0,0.2201
429.1,0.22019
429.2,0.22028
429.3,0.22037
429.4,0.22046
429.5,0.22055
429.6,0.22064
429.7,0.22073
429.8,0.22082
429.9,0.22091
430.0,0.221
430.1,0.22109
430.2,0.22118
430.3,0.22127
430.4,0.22136
430.5,0.22145
430.6,0.22154
430.7,0.22163
430.8,0.22172
430.9,0.22181
431.0,0.2219
431.1,0.22199
431.2,0.22208
431.3,0.22217
431.4,0.22226
431.5,0.22235
431.6,0.22244
431.7,0.22253
431.8,0.22262
431.9,0.22271
432.0,0.2228
432.1,0.22289
432.2,0.22298
432.3,0.22307
432.4,0.22316
432.5,0.22325
432.6,0.22334
432.7,0.22343
432.8,0.22352
432.9,0.22361
433.0,0.2237
433.1,0.22379
433.2,0.22388
433.3,0.22397
433.4,0.22406
433.5,0.22415
433.6,0.22424
433.7,0.22433
433.8,0.22442
433.9,0.22451
434.0,0.2246
434.1,0.22469
434.2,0.22478
434.3,0.22487
434.4,0.22496
434.5,0.22505
434.6,0.22514
434.7,0.22523
434.8,0.22532
434.9,0.22541
435.0,0.2255
435.1,0.22559
435.2,0.22568
435.3,0.22577
435.4,0.22586
435.5,0.22595
435.6,0.22604
435.7,0.22613
435.8,0.22622
435.9,0.22631
436.0,0.2264
436.1,0.22649
436.2,0.22658
436.3,0.22667
436.4,0.22676
436.5,0.22685
436.6,0.22694
436.7,0.22703
436.8,0.22712
436.9,0.22721
437.0,0.2273
437.1,0.22739
437.2,0.22748
437.3,0.22757
437.4,0.22766
437.5,0.22775
437.6,0.22784
437.7,0.22793
437.8,0.22802
437.9,0.22811
438.0,0.2282
438.1,0.22829
438.2,0.22838
438.3,0.22847
438.4,0.22856
438.5,0.22865
438.6,0.22874
438.7,0.22883
438.8,0.22892
438.9,0.22901
439.0,0.2291
439.1,0.22919
439.2,0.22928
439.3,0.22937
439.4,0.22946
439.5,0.22955
439.6,0.22964
439.7,0.22973
439.8,0.22982
439.9,0.22991
440.0,0.23
440.1,0.23009
440.2,0.23018
440.3,0.23027
440.4,0.23036
440.5,0.23045
440.6,0.23054
440.7,0.23063
440.8,0.23072
440.9,0.23081
441.0,0.2309
441.1,0.23099
441.2,0.23108
441.3,0.23117
441.4,0.23126
441.5,0.23135
441.6,0.23144
441.7,0.23153
441.8,0.23162
441.9,0.23171
442.0,0.2318
442.1,0.23189
442.2,0.23198
442.3,0.23207
442.4,0.23216
442.5,0.23225
442.6,0.23234
442.7,0.23243
442.8,0.23252
442.9,0.23261
443.0,0.2327
443.1,0.23279
443.2,0.23288
443.3,0.23297
443.4,0.23306
443.5,0.23315
443.6,0.23324
443.7,0.23333
443.8,0.23342
443.9,0.23351
444.0,0.2336
444.1,0.23369
444.2,0.23378
444.3,0.23387
444.4,0.23396
444.5,0.23405
444.6,0.23414
444.7,0.23423
444.8,0.23432
444.9,0.23441
445.0,0.2345
445.1,0.23459
445.2,0.23468
445.3,0.23477
445.4,0.23486
445.5,0.23495
445.6,0.23504
445.7,0.23513
445.8,0.23522
445.9,0.23531
446.0,0.2354
446.1,0.23549
446.2,0.23558
446.3,0.23567
446.4,0.23576
446.5,0.23585
446.6,0.23594
446.7,0.23603
446.8,0.23612
446.9,0.23621
447.0,0.2363
447.1,0.23639
447.2,0.23648
447.3,0.23657
447.4,0.23666
447.5,0.23675
447.6,0.23684
447.7,0.23693
447.8,0.23702
447.9,0.23711
448.0,0.2372
448.1,0.23729
448.2,0.23738
448.3,0.23747
448.4,0.23756
448.5,0.23765
448.6,0.23774
448.7,0.23783
448.8,0.23792
448.9,0.23801
449.0,0.2381
449.1,0.23819
449.2,0.23828
449.3,0.23837
449.4,0.23846
449.5,0.23855
449.6,0.23864
449.7,0.23873
449.8,0.23882
449.9,0.23891
450.0,0.239
450.1,0.23909
450.2,0.23918
450.3,0.23927
450.4,0.23936
450.5,0.23945
450.6,0.23954
450.7,0.23963
450.8,0.23972
450.9,0.23981
451.0,0.2399
451.1,0.23999
451.2,0.24008
451.3,0.24017
451.4,0.24026
451.5,0.24035
451.6,0.24044
451.7,0.24053
451.8,0.24062
451.9,0.24071
452.0,0.2408
452.1,0.24089
452.2,0.24098
452.3,0.24107
452.4,0.24116
452.5,0.24125
452.6,0.24134
452.7,0.24143
452.8,0.24152
452.9,0.24161
453.0,0.2417
453.1,0.24179
453.2,0.24188
453.3,0.24197
453.4,0.24206
453.5,0.24215
453.6,0.24224
453.7,0.24233
453.8,0.24242
453.9,0.24251
454.0,0.2426
454.1,0.24269
454.2,0.24278
454.3,0.24287
454.4,0.24296
454.5,0.24305
